DateTime,Data,Reading
2021/09/01 8:58:30 PM,0,No Event
2021/09/01 8:45:54 PM,1,
2021/09/01 8:12:23 PM,0,No Event
2021/09/01 7:59:30 PM,1,
2021/09/01 5:18:07 PM,0,No Event
2021/09/01 5:05:56 PM,1,
2021/09/01 2:06:50 PM,0,No Event
2021/09/01 1:32:22 PM,1,
2021/09/01 1:25:37 PM,0,No Event
2021/09/01 12:25:15 PM,1,
2021/09/01 11:33:27 AM,0,No Event
2021/09/01 10:40:04 AM,1,
2021/09/01 10:08:54 AM,1,
2021/09/01 8:29:11 AM,3,
2021/09/01 2:43:04 AM,0,No Event
2021/09/01 2:30:47 AM,1,
2021/08/31 7:01:32 PM,0,No Event
2021/08/31 6:49:12 PM,1,
2021/08/31 5:01:33 PM,0,No Event
2021/08/31 4:39:26 PM,0,No Event
2021/08/31 4:08:53 PM,1,
2021/08/31 4:00:21 PM,0,No Event
2021/08/31 3:46:34 PM,1,
2021/08/31 3:40:10 PM,0,No Event
2021/08/31 3:23:39 PM,1,
2021/08/31 3:16:07 PM,0,No Event
2021/08/31 2:40:33 PM,1,
2021/08/31 2:25:00 PM,0,No Event
2021/08/31 2:08:30 PM,1,
2021/08/31 2:03:54 PM,0,No Event
2021/08/31 1:25:17 PM,1,
2021/08/31 12:59:52 PM,0,No Event
2021/08/31 12:47:16 PM,1,
2021/08/31 12:44:44 PM,0,No Event
2021/08/31 12:18:42 PM,0,No Event
2021/08/31 12:03:13 PM,1,
2021/08/31 12:01:36 PM,0,No Event
2021/08/31 11:21:26 AM,1,
2021/08/31 11:14:24 AM,0,No Event
2021/08/31 11:01:32 AM,1,
2021/08/31 11:00:17 AM,0,No Event
2021/08/31 11:00:17 AM,0,No Event
2021/08/31 10:31:59 AM,1,
2021/08/31 9:46:55 AM,0,No Event
2021/08/31 9:34:07 AM,1,
2021/08/31 9:00:52 AM,0,No Event
2021/08/31 8:31:12 AM,3,
2021/08/31 8:19:23 AM,1,
2021/08/30 8:26:07 PM,0,No Event
2021/08/30 8:06:01 PM,0,No Event
2021/08/30 7:53:43 PM,1,
2021/08/30 11:52:42 AM,1,
2021/08/30 11:06:41 AM,0,No Event
2021/08/30 10:54:25 AM,1,
2021/08/30 10:52:36 AM,0,No Event
2021/08/30 10:39:47 AM,1,
2021/08/30 10:38:26 AM,0,No Event
2021/08/30 10:26:19 AM,1,
2021/08/30 8:34:01 AM,3,
2021/08/29 8:34:54 AM,3,
2021/08/28 8:36:36 AM,3,
2021/08/28 2:13:38 AM,0,No Event
2021/08/28 2:01:31 AM,1,
2021/08/27 7:41:03 PM,0,No Event
2021/08/27 7:28:27 PM,1,
2021/08/27 2:12:40 PM,0,No Event
2021/08/27 1:59:50 PM,1,
2021/08/27 1:28:37 PM,0,No Event
2021/08/27 1:10:27 PM,1,
2021/08/27 12:37:37 PM,0,No Event
2021/08/27 12:02:55 PM,1,
2021/08/27 8:39:10 AM,3,
2021/08/27 5:38:51 AM,0,No Event
