DateTime,Data,Reading
2021/09/01 5:40:08 PM,0,No Event
2021/09/01 5:28:22 PM,3,
2021/09/01 5:27:28 PM,1,
2021/09/01 5:21:59 PM,0,No Event
2021/09/01 5:09:38 PM,1,
2021/09/01 4:58:47 PM,0,No Event
2021/09/01 3:21:54 PM,1,
2021/09/01 2:31:13 PM,0,No Event
2021/09/01 2:14:17 PM,1,
2021/09/01 2:13:03 PM,0,No Event
2021/09/01 1:36:53 PM,1,
2021/09/01 1:26:46 PM,0,No Event
2021/09/01 1:02:10 PM,1,
2021/09/01 12:31:34 PM,0,No Event
2021/09/01 12:17:59 PM,1,
2021/09/01 12:03:24 PM,0,No Event
2021/09/01 11:41:55 AM,1,
2021/09/01 11:39:13 AM,0,No Event
2021/09/01 11:26:55 AM,1,
2021/09/01 11:14:04 AM,0,No Event
2021/09/01 11:01:31 AM,1,
2021/09/01 10:33:52 AM,0,No Event
2021/09/01 10:13:12 AM,1,
2021/09/01 10:06:33 AM,0,No Event
2021/09/01 9:53:44 AM,1,
2021/09/01 9:25:22 AM,0,No Event
2021/09/01 8:51:53 AM,1,
2021/09/01 8:12:07 AM,0,No Event
2021/09/01 7:59:12 AM,1,
2021/08/31 5:26:25 PM,3,
2021/08/31 4:49:23 PM,0,No Event
2021/08/31 1:33:17 PM,1,
2021/08/31 12:28:58 PM,0,No Event
2021/08/31 12:16:35 PM,1,
2021/08/31 12:02:48 PM,0,No Event
2021/08/31 7:53:47 AM,1,
2021/08/30 5:24:40 PM,3,
2021/08/30 4:03:03 PM,0,No Event
2021/08/30 3:50:49 PM,1,
2021/08/30 3:37:53 PM,0,No Event
2021/08/30 11:24:50 AM,1,
2021/08/30 11:23:24 AM,0,No Event
2021/08/30 8:19:25 AM,1,
2021/08/30 8:14:37 AM,0,No Event
2021/08/30 8:02:10 AM,1,
2021/08/29 5:22:10 PM,3,
2021/08/28 5:17:12 PM,3,
2021/08/27 5:13:42 PM,3,
2021/08/27 2:14:25 PM,0,No Event
2021/08/27 2:01:52 PM,1,
2021/08/27 1:03:08 PM,0,No Event
2021/08/27 11:53:51 AM,1,
2021/08/27 11:51:50 AM,0,No Event
2021/08/27 11:38:58 AM,1,
2021/08/27 11:36:40 AM,0,No Event
2021/08/27 11:17:42 AM,1,
2021/08/27 10:44:26 AM,0,No Event
2021/08/27 10:03:31 AM,1,
2021/08/27 9:45:11 AM,0,No Event
2021/08/27 9:32:00 AM,1,
2021/08/27 7:50:48 AM,0,No Event
2021/08/27 7:38:32 AM,1,
2021/08/26 5:10:46 PM,3,
2021/08/26 11:19:06 AM,0,No Event
2021/08/26 10:11:51 AM,1,
2021/08/26 9:41:45 AM,0,No Event
2021/08/26 9:27:31 AM,1,
2021/08/25 5:08:51 PM,3,
2021/08/25 3:20:06 PM,0,No Event
2021/08/25 3:07:38 PM,1,
2021/08/25 2:49:55 PM,0,No Event
2021/08/25 1:46:46 PM,1,
2021/08/25 1:44:25 PM,0,No Event
2021/08/25 1:24:37 PM,1,
2021/08/25 1:15:13 PM,0,No Event
2021/08/25 12:52:47 PM,1,
2021/08/25 12:43:58 PM,0,No Event
2021/08/25 12:30:59 PM,1,
2021/08/25 12:23:46 PM,0,No Event
2021/08/25 12:00:10 PM,1,
2021/08/25 11:40:33 AM,0,No Event
2021/08/25 11:08:48 AM,1,
2021/08/25 10:59:20 AM,0,No Event
2021/08/25 10:30:23 AM,1,
2021/08/25 10:23:07 AM,0,No Event
2021/08/25 9:44:17 AM,1,
2021/08/25 8:58:51 AM,0,No Event
2021/08/25 8:42:28 AM,1,
2021/08/25 8:21:39 AM,0,No Event
2021/08/25 8:01:42 AM,1,
2021/08/25 7:57:24 AM,0,No Event
2021/08/25 7:44:44 AM,1,
2021/08/24 5:06:49 PM,3,
2021/08/24 3:52:51 PM,0,No Event
2021/08/24 3:40:40 PM,1,
2021/08/24 3:38:32 PM,0,No Event
2021/08/24 10:12:37 AM,1,
2021/08/24 10:11:30 AM,0,No Event
2021/08/24 7:44:54 AM,1,
2021/08/23 5:05:15 PM,3,
2021/08/23 3:46:59 PM,0,No Event
2021/08/23 3:23:49 PM,1,
2021/08/23 3:04:40 PM,0,No Event
2021/08/23 2:05:03 PM,1,
2021/08/23 1:59:31 PM,0,No Event
2021/08/23 1:20:36 PM,1,
2021/08/23 1:20:22 PM,0,No Event
2021/08/23 1:02:46 PM,1,
2021/08/23 12:32:12 PM,0,No Event
2021/08/23 12:10:04 PM,1,
2021/08/23 12:09:02 PM,0,No Event
2021/08/23 11:52:27 AM,1,
2021/08/23 11:50:54 AM,0,No Event
2021/08/23 11:38:39 AM,1,
2021/08/23 11:34:45 AM,0,No Event
2021/08/23 11:13:30 AM,1,
2021/08/23 10:57:35 AM,0,No Event
2021/08/23 9:56:37 AM,1,
2021/08/23 9:50:23 AM,0,No Event
2021/08/23 9:37:59 AM,1,
2021/08/23 9:34:13 AM,0,No Event
2021/08/23 9:02:07 AM,1,
2021/08/23 9:00:50 AM,0,No Event
2021/08/23 8:37:24 AM,1,
2021/08/23 8:32:41 AM,0,No Event
2021/08/23 8:15:52 AM,1,
2021/08/23 8:10:27 AM,0,No Event
2021/08/23 7:52:52 AM,1,
2021/08/22 5:03:35 PM,3,
2021/08/21 5:00:46 PM,3,
2021/08/20 4:58:44 PM,3,
2021/08/20 1:58:31 PM,0,No Event
2021/08/20 12:13:40 PM,1,
2021/08/20 12:03:09 PM,0,No Event
2021/08/20 10:31:19 AM,1,
2021/08/20 10:29:48 AM,0,No Event
2021/08/20 9:02:27 AM,1,
2021/08/20 8:38:29 AM,0,No Event
2021/08/20 7:52:55 AM,1,
2021/08/19 10:51:10 PM,0,No Event
2021/08/19 10:38:38 PM,1,
2021/08/19 4:56:21 PM,3,
2021/08/19 4:42:19 PM,0,No Event
2021/08/19 12:19:31 PM,1,
2021/08/19 12:12:14 PM,0,No Event
2021/08/19 9:23:21 AM,1,
2021/08/19 9:08:43 AM,0,No Event
2021/08/19 8:30:50 AM,1,
2021/08/19 8:30:16 AM,0,No Event
2021/08/19 7:59:32 AM,1,
2021/08/18 5:09:09 PM,0,No Event
2021/08/18 4:53:34 PM,3,
2021/08/18 3:47:48 PM,1,
2021/08/18 3:10:49 PM,0,No Event
2021/08/18 2:58:26 PM,1,
2021/08/18 2:54:38 PM,0,No Event
2021/08/18 2:23:52 PM,1,
2021/08/18 2:07:25 PM,0,No Event
2021/08/18 1:42:11 PM,1,
2021/08/18 1:40:13 PM,0,No Event
2021/08/18 1:15:34 PM,1,
